Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness_1-19_years,thinness_5-9_years,Income_composition_of_resources,Schooling,child_mortality_rate,immunization_avg,economic_strength,education_index,mortality_pressure
Afghanistan,2015,Developing,65.0,263.0,4.143134726391533,0.01,4.280542258460885,65.0,7.051855622955894,19.1,4.430816798843313,6.0,8.16,65.0,0.0953101798043248,6.372054843111785,17.33409074705403,17.2,17.3,0.479,10.1,8.573951525234847,45.333333333333336,3.052214269850545,4.837899999999999,263.0953101798043
Afghanistan,2014,Developing,59.9,271.0,4.174387269895637,0.01,4.311115607917084,62.0,6.20050917404269,18.6,4.465908118654584,58.0,8.18,62.0,0.0953101798043248,6.419500529079097,12.699496737062692,17.5,17.5,0.476,10.0,8.640295388550221,60.666666666666664,3.05568225184165,4.76,271.0953101798043
Afghanistan,2013,Developing,59.9,268.0,4.204692619390966,0.01,4.307023452400663,64.0,6.066108090103747,18.1,4.499809670330265,62.0,8.13,64.0,0.0953101798043248,6.450067459449026,17.272826392524035,17.7,17.7,0.47,9.9,8.70450228972123,63.333333333333336,3.0315317059410423,4.653,268.0953101798043
Afghanistan,2012,Developing,59.5,272.0,4.248495242049359,0.01,4.371776977189467,67.0,7.933079771880415,17.6,4.543294782270004,67.0,8.52,67.0,0.0953101798043248,6.508708032273233,15.12302114778424,17.9,18.0,0.463,9.8,8.791790024319363,67.0,3.013531818942507,4.537400000000001,272.0953101798043
Afghanistan,2011,Developing,59.2,275.0,4.276666119016055,0.01,2.091507047709576,68.0,8.01102337918644,17.2,4.584967478670572,68.0,7.87,68.0,0.0953101798043248,4.16724228207777,14.906963949433903,18.2,18.2,0.454,9.5,8.861633597686627,68.0,1.8919279960633075,4.313,275.0953101798043
Afghanistan,2010,Developing,58.8,279.0,4.31748811353631,0.01,4.39048287170673,66.0,7.595889917718538,16.7,4.634728988229636,66.0,9.2,66.0,0.0953101798043248,6.317758265057453,14.87440024755543,18.4,18.4,0.448,9.2,8.952217101765946,66.0,2.830355702745739,4.1216,279.0953101798043
Afghanistan,2009,Developing,58.6,281.0,4.356708826689592,0.01,4.056334873695729,63.0,7.959275960116396,16.2,4.672828834461906,63.0,9.42,63.0,0.0953101798043248,6.102319858959644,12.55789784846294,18.6,18.7,0.434,8.9,9.029537661151497,63.0,2.6484068187884855,3.8626,281.0953101798043
Afghanistan,2008,Developing,58.1,287.0,4.394449154672439,0.03,3.2911564990436903,64.0,7.377758908227872,15.7,4.709530201312334,64.0,8.33,64.0,0.0953101798043248,5.925220883173701,14.819604086905889,18.8,18.9,0.433,8.7,9.103979355984773,64.0,2.5656206424142125,3.7670999999999997,287.0953101798043
Afghanistan,2007,Developing,57.5,295.0,4.418840607796598,0.02,2.4773914798389645,63.0,7.040536390215956,15.2,4.736198448394496,63.0,6.73,63.0,0.0953101798043248,5.915759366249112,17.09705289034542,19.0,19.1,0.415,8.4,9.155039056191093,63.0,2.4550401369933814,3.4859999999999998,295.0953101798043
Afghanistan,2006,Developing,57.3,295.0,4.442651256490317,0.03,2.89985539625697,64.0,7.596392304064196,14.7,4.762173934797756,58.0,7.43,58.0,0.0953101798043248,5.611534757389504,14.76691589213728,19.2,19.3,0.405,8.1,9.204825191288073,60.0,2.272671576742749,3.2805,295.0953101798043
Afghanistan,2005,Developing,57.3,291.0,4.454347296253507,0.02,0.8707274033063157,66.0,7.167809184316444,14.2,4.77912349311153,58.0,8.7,58.0,0.0953101798043248,3.26934571655277,12.459935490503751,19.3,19.5,0.396,7.9,9.233470789365036,60.666666666666664,1.294660903754897,3.1284,291.0953101798043
Afghanistan,2004,Developing,57.0,293.0,4.477336814478207,0.02,2.790923755376677,67.0,6.1463292576688975,13.8,4.795790545596741,5.0,8.79,5.0,0.0953101798043248,5.394269852756704,16.998509640371857,19.5,19.7,0.381,6.8,9.273127360074948,25.666666666666668,2.055216813900304,2.5907999999999998,293.0953101798043
Afghanistan,2003,Developing,56.7,295.0,4.477336814478207,0.01,2.4923003100268697,65.0,6.683360945766275,13.4,4.812184355372417,41.0,8.82,41.0,0.0953101798043248,5.296959162606505,14.67622599866882,19.7,19.9,0.373,6.5,9.289521169850623,49.0,1.9757657676522264,2.4245,295.0953101798043
Afghanistan,2002,Developing,56.2,3.0,4.48863636973214,0.01,2.8840938099771143,64.0,7.818832443803404,13.0,4.812184355372417,36.0,7.76,36.0,0.0953101798043248,5.240931603336766,16.905640049244962,19.9,2.2,0.341,6.2,9.300820725104558,45.333333333333336,1.7871576767378374,2.1142000000000003,3.0953101798043248
Afghanistan,2001,Developing,55.3,316.0,4.48863636973214,0.01,2.448824118055131,63.0,9.07829359105585,12.6,4.812184355372417,35.0,7.8,33.0,0.0953101798043248,4.774887475018364,14.902881229093968,2.1,2.4,0.34,5.9,9.300820725104558,43.666666666666664,1.6234617415062438,2.0060000000000002,316.0953101798043
Afghanistan,2000,Developing,54.8,321.0,4.48863636973214,0.01,2.435800435680048,62.0,8.78462153484075,12.2,4.812184355372417,24.0,8.2,24.0,0.0953101798043248,4.749789875598035,12.590508173943816,2.3,2.5,0.338,5.5,9.300820725104558,36.666666666666664,1.6054289779521358,1.8590000000000002,321.0953101798043
Albania,2015,Developing,77.8,74.0,0.0,4.6,5.902565649963353,99.0,0.0,58.0,0.0,99.0,6.0,99.0,0.0953101798043248,8.282793484105197,10.27069681518976,1.2,1.3,0.762,14.2,0.0,99.0,6.31148863488816,10.8204,74.09531017980433
Albania,2014,Developing,77.5,8.0,0.0,4.51,6.063201472765545,98.0,0.0,57.2,0.6931471805599453,98.0,5.88,98.0,0.0953101798043248,8.428747430626215,12.573887806186432,1.2,1.3,0.761,14.2,0.6931471805599453,98.0,6.4142767947065495,10.8062,8.095310179804326
